,test_id,headline,impressions,impressions,clicks,CTR,ini_CTR
12,4,"Thousands Of Protesters Are About To Descend On Washington, D.C. Here's Why.",2654.0,2654.0,53.0,0.019969856819894497,0.00220168870875442
13,4,The Protest That Could Literally Save The World ,2636.0,2636.0,45.0,0.01707132018209408,0.01145821641313437
14,4,WATCH: The Protest That Could Literally Save The World ,2707.0,2707.0,50.0,0.01847063169560399,0.011755279202240251
15,4,Could This Be The Most Important Protest Of 2013? ,2606.0,2606.0,42.0,0.016116653875671526,0.016657932371758652
20,6,Creationism Has Nothing To Do With Christianity According To Christian Dude,2551.0,2551.0,39.0,0.01528812230497844,0.008515459685616424
21,6,The One Where A Creationist Picks A Fight And Loses To A Priest,2629.0,2629.0,68.0,0.025865348041080257,0.018070188290423762
22,6,"Creationism Shouldn't Be Taught In Science Classes, According To This Guy.",2539.0,2539.0,49.0,0.01929893658920835,0.005144799698409798
23,6,God Finds Out About Creationism And Sends A Representative To Put A Stop To It,2661.0,2661.0,63.0,0.02367531003382187,0.014651774970579366
32,9,I Wouldn't Mind Getting Sent To This Principal's Office,2827.0,2827.0,29.0,0.010258224266006368,0.008915952981502717
33,9,This Elementary School Principal Has A Message For Any Administrators Who Let Bullying Slide,2747.0,2747.0,26.0,0.009464870768110666,0.013522578673868923
34,9,A Dispatch From The Front Lines In The Fight Against Bullying,2817.0,2817.0,22.0,0.007809726659566915,0.014465077357639357
35,9,"If Teachers Won't Stand Up To Bullying, Then Who Will? ",2945.0,2945.0,29.0,0.009847198641765705,0.015394321745688753
53,15,"Bail Out The Bankers? Iceland ARRESTED Them, And Look What Happened.",5284.0,5284.0,111.0,0.021006813020439063,0.011798944733756284
54,15,"In America, Bankers Get Bailouts. In Iceland, They Get Solitary Confinement.",5293.0,5293.0,58.0,0.010957868883430947,0.01132997870864538
55,15,Why Do Bankers Get Treated Like Diplomats? It's Time To End The Ridiculousness.,5451.0,5451.0,48.0,0.008805723720418272,0.00917382681520645
56,15, Iceland's Economy Is Kicking Ass. What's Their Secret? ARRESTING BANKERS!,5377.0,5377.0,74.0,0.013762320996838386,0.01
57,16,Jon Stewart Finds And Exploits Bill O'Reilly's Only Weakness: Facts,5129.0,5129.0,164.0,0.03197504386820043,0.025393595269661097
58,16,I Almost Feel Bad For Bill O'Reilly In This Clip. Almost.,5248.0,5248.0,246.0,0.046875,0.020061680798444295
59,16,Note To Fox News: Don't Let Jon Stewart See ANYTHING You Do,5188.0,5188.0,178.0,0.034309946029298384,0.02500750661021245
60,16,What Happens When Jon Stewart Debates Bill O'Reilly On The Subject Of Racism?,5257.0,5257.0,171.0,0.03252805782765836,0.025105903147271715
113,31,"Mr. President, I'm Not Mad. I'm Just Disappointed. ",5210.0,5210.0,103.0,0.019769673704414587,0.01832073146215118
114,31,"Mr. President, I'm Not Mad. I'm Just Disappointed. No, Wait. I'm A Little Mad Too.",5363.0,5363.0,89.0,0.016595189259742682,0.019950652392384475
115,32,The First Gangnam Style Video That Actually Makes The World A Better Place,3577.0,3577.0,93.0,0.025999440872239307,0.01219088559777325
116,32,"What Do You Get With 2 Guys, 1 Girl, And 200 Condoms?",3487.0,3487.0,115.0,0.032979638657872096,0.012421604545763233
117,32,200 Condoms Were Harmed In The Making Of This Video,3512.0,3512.0,85.0,0.024202733485193622,0.010340401402936343
128,36,MAD RESPECT: This Brave Woman Is Running For President In A Country Not Known For Respecting Women,2764.0,2764.0,31.0,0.01121562952243126,0.00831852218917251
129,36,"This Brave Woman Is Running For President Of Afghanistan. Yes, Afghanistan.",2763.0,2763.0,26.0,0.009410061527325372,0.0029308569993450433
130,36,"If You Think Hillary Had A Rough Campaign, You Haven't Met Afghanistan's Lady Presidential Candidate",2811.0,2811.0,36.0,0.012806830309498399,0.01588947153100896
