clickability_test_id,eyecatcher_id,headline_1,headline_2,higher_CTR
51436069220cb800020005ae,5332b5961fae79f09f000636,What If Advertisements Just Said What They Meant? ,"The Advertisements You Read Every Day, Only Naked",2.0
51436069220cb800020005ae,5332b5961fae79f09f000636,"The Advertisements You Read Every Day, Only Naked",What Your Advertisement Say About You Behind Closed Doors,1.0
51436069220cb800020005ae,5332b5961fae79f09f000636,The One Where Your Advertisements Talk To You Like You're Not An Idiot For Once,"The Advertisements You Read Every Day, Only Naked",2.0
5143606a220cb800020005c6,5332ba211fae79f09f002dcf,Her Mom Abandoned Her When She Found Out She Had A Girl. Said Girl May Now Run A Country.,"This Brave Woman Is Running For President Of Afghanistan. Yes, Afghanistan.",1.0
5143606b220cb800020005d7,5332ba581fae79f09f003326,Sean Hannity Supports A Woman's Right To Choose Some Things...,A Feminist Shares Actual Facts On Fox News And Confuses Conservative Pundits,2.0
5143606b220cb800020005d7,5332ba581fae79f09f003326,Feminist Confuses Fox News Host By Suggesting That We Teach Men To Not Attack Women,Sean Hannity Supports A Woman's Right To Choose Some Things...,1.0
51436071220cb80002000788,5332ba231fae79f09f002df9,"Kids Love To Smoke Cigarettes, Right?",How To Stop A Child From Smoking In 30 Seconds,2.0
5143607b220cb8000200091c,5332ba281fae79f09f002e4d,You'll Never Look At Topless Women The Same Way Again,NSFW: Stopping Breast Cancer With Pictures Of Boobs,1.0
5143607b220cb8000200091c,5332ba281fae79f09f002e4d,Topless Women With Something To Say,You'll Never Look At Topless Women The Same Way Again,2.0
5143607b220cb8000200091c,5332ba281fae79f09f002e4d,You'll Never Look At Topless Women The Same Way Again,Never Ever Ever Forget About Breasts,1.0
5143607b220cb8000200091c,5332ba281fae79f09f002e4d,NSFW: Stopping Breast Cancer With Pictures Of Boobs,Topless Women With Something To Say,2.0
5143607b220cb8000200092a,5332ba131fae79f09f002c1f,The One Disco Song Whose Advice You Should Probably Take,The Most Creative Drinking And Driving PSA I've Ever Seen,2.0
5143607b220cb8000200092a,5332ba131fae79f09f002c1f,The Most Creative Drinking And Driving PSA I've Ever Seen,Would You Die For Disco?,1.0
5143607b220cb8000200092a,5332ba131fae79f09f002c1f,"If A Grisly Death Isn't Convincing Enough, Maybe This Picture Is",Would You Die For Disco?,1.0
5143607c220cb80002000939,5332bb721fae79f09f004fca,I Was Shocked When I Saw This Sentence And Sad When I Comprehended It ,"If $23 Dollars An Hour Sounds Like A Lotta Dough, Check This Out
",1.0
5143607c220cb80002000939,5332bb721fae79f09f004fca,"How Much Would You Be Making If Wages Had Kept Pace With Executive Salaries Since 1990?
","If $23 Dollars An Hour Sounds Like A Lotta Dough, Check This Out
",1.0
5143607d220cb80002000949,5332ba291fae79f09f002e5b,Rosario Dawson And I Have Something Very Important In Common,"This Famous Actress Doesn't HAVE To Do This, But I'm So Glad She Is",2.0
5143607e220cb80002000965,5332ba2a1fae79f09f002e74,Can You Imagine Having The Cash To Buy An Election? That's A Reality For Some People.,Bernie Sanders Is Terrified. You Should Be Too.,2.0
51436087220cb800020009a9,5332ba5c1fae79f09f003370,One Of The Most Unique Attempts At Suicide Prevention Is Also Totally Beautiful,These People Did Not Plan On Being Here Today. So Why Are They?,1.0
5143608e220cb800020009f0,5332ba181fae79f09f002c9e,Matt Damon Pledges To 'Hold It' Until Everyone Has A Bathroom ,"Matt Damon's Incredible Pro-Toilet, Anti-Reporter Press Conference",2.0
51436090220cb80002000a03,5332ba4f1fae79f09f003281,What's Worse Than Gay Students Being Bullied? This School's Reaction To The Girl Trying To End It.,"Today, Help A 14 Year Old Girl Learn That The Adult World Can Actually Do Something Right ",1.0
51436090220cb80002000a03,5332ba4f1fae79f09f003281,"Today, Help A 14 Year Old Girl Learn That The Adult World Can Actually Do Something Right ",A Girl Decided To Do Something About Bullying At Her School. So The School Bullied Her. ,2.0
51436090220cb80002000a03,5332ba4f1fae79f09f003281,"Today, Help A 14 Year Old Girl Learn That The Adult World Can Actually Do Something Right ",Girl Gets Attacked By Bullies Because She Started An Anti-Bullying Club. The Bullies Aren't Kids.,2.0
51480b8de28a19000200a708,5332ba771fae79f09f003640,I Can't Believe Upworthy Said That About Your Mom,Someone Hacked Upworthy's Vault And Put All Our Viral Secrets On The Internet. Not Cool.,2.0
5148c60378ec5400020020d9,5332ba791fae79f09f00368e,The US Should Be Absolutely Ashamed Of What It's Doing To Their Brave Vets ,These Soldiers Served Their Country. Then THIS Happened?,2.0
5148fb4dcb47730002005ec0,5332ba7c1fae79f09f0036ea,"If You Eat 1000 Cows In One Sitting, You're Either A Monster, Or You Just Ate McDonalds. Seriously.",Can You Imagine A World With More Than 700 Million Obese People? That'll Be Next Year.,1.0
5148fb4dcb47730002005ec0,5332ba7c1fae79f09f0036ea,"If You Eat 1000 Cows In One Sitting, You're Either A Monster, Or You Just Ate McDonalds. Seriously.","Frozen Meat Patties Contain HOW MANY DIFFERENT COWS? That's Gross, Filthy-Style.",1.0
51491741cb47730002007b6f,5332ba7c1fae79f09f00370f,This Is What Happens When We Touch Objects Instead Of People,When Was The Last Time You Touched Something Other Than Your Phone?,1.0
51491741cb47730002007b6f,5332ba7d1fae79f09f003711,"These People Know What You Want To Touch, And Won't Stop Until You're Touching It",Meet The People Who Can't Stop Thinking About The Way We Touch Each Other,2.0
5149261ecb477300020089c4,5332ba191fae79f09f002cb1,Watch The Most Powerful Force In The Universe In Action,Bookmark This For When You’re Sad And Instantly Be 100 Times Happier,2.0
5149eb48b245f00002007fdd,5332ba7e1fae79f09f003742,I Never Thought Toys Could Tell You So Much About How The World Works,10 Amazing International Photos That Will Give You Some Perspective,2.0
5150ce5a6261cf0002003df7,5332ba851fae79f09f003833,The Bulletproof Plan To Solve The World's Water Crisis,Can Somebody Just Give This Guy A Million Bucks Already?,2.0
5151ee591e19e80002001d8e,5332ba371fae79f09f002fef,This Man Decided To Humiliate A Hate Group. Hilarity Ensues.,"Is It OK For This Comic To Humiliate These People? Yes, Because These People Are Horrible.",1.0
515592190cd90900020046e0,5332ba8e1fae79f09f003956,The 2 Reasons Why I'm Loving This New Pope,The New Pope Just Kissed A Muslim Woman's Foot; Watch The World React,2.0
515592190cd90900020046e0,5332ba8e1fae79f09f003956,BREAKING: Why The New Pope Just Included Women In A Traditionally Suck-tastic All-Male Ceremony,The 2 Reasons Why I'm Loving This New Pope,1.0
515a27bc8c1bd300020000fc,5332ba951fae79f09f003a21,Star Trek Does 'It Gets Better.' It's Pretty Amazing.,Spock Gives Teenage Girl Advice About Bullies; Entire Internet Has A Cry,2.0
515ac4534c9a93000200308c,5332ba991fae79f09f003a99,Want To Earn My Business? Just Do The Right Thing.,This What It Looks Like When A Company Stays On The Right Side Of History,2.0
515ac4534c9a93000200308c,5332ba991fae79f09f003a99,This What It Looks Like When A Corporation Has A Soul,Want To Earn My Business? Just Do The Right Thing.,1.0
515b283c2b70e400020085a4,5332ba9a1fae79f09f003ac0,North Korea Doesn't Want You To See This And They'll Be Really Furious If You Share It,What Do You Do When North Korea Threatens To Punish Your Family When You Escape?,1.0
515cad48519f250002009cc1,5332ba1c1fae79f09f002d2e,Watch A Bunch Of LAMO NERDS Stop Cyberbullying With Science. WHATEVER!,A Bunch Of Nerds Got Tired Of Cyberbullies So They Used Their Powers Of Science To Fight Them,2.0
515df0dc03099b0002005e2f,5332ba3f1fae79f09f003113,We Just Lost A Pop Culture Treasure. He Gets Two Thumbs Up For The Way He Lived.,"When You Watch Movies For A Living, You Learn A Thing Or Two About Happiness And Thumbs",1.0
515df0dc03099b0002005e2f,5332ba3f1fae79f09f003113,Two Thumbs Up To The Amazing Man Who Wrote These Words Before He Passed On,"When You Watch Movies For A Living, You Learn A Thing Or Two About Happiness And Thumbs",1.0
516880d2a056a1000200f058,5332ba451fae79f09f0031fb,Which Star Of Inception And X-Men Is Now Starring In My Feminist Dreams?,You Know You're Working In A Patriarchal Society When…,2.0
516880d2a056a1000200f058,5332ba451fae79f09f0031fb,"She Starred In Inception, Juno, And X-Men, Now She's The Star Of My Feminist Dreams",Which Star Of Inception And X-Men Is Now Starring In My Feminist Dreams?,1.0
